title,author,link
IMPLEMENTASI METODE K-MEANS UNTUK PENGELOMPOKAN DATA JAMAAH PADA BIRO UMROH JABAL RAHMAH PACITAN,"Melinda Yunitasari Yunitasari,Tamara Maharani Maharani,Bagus Hikmahwan Hikmahwan",http://klik.ulm.ac.id/index.php/klik/article/view/402
KLASIFIKASI DATA LULUSAN SMPN 3 TULAKAN MENGGUNAKAN METODE NAÏVE BAYES,"Lesta Lia Regitaningtyas,Tamara Maharani Maharani,Bagus Hikmawan Hikmawan",http://klik.ulm.ac.id/index.php/klik/article/view/403
EFESIENSI ENERGI PADA BANGUNAN MENGGUNAKAN MULTIVARIATE RANDOM FOREST,"Triando Hamonangan Saragih,Mohammad Reza Faisal,Muhammad Haekal",http://klik.ulm.ac.id/index.php/klik/article/view/421
IMPLEMENTASI METODE SEDIMENT DELIVERY RATIO (SDR) DALAM SISTEM INFORMASI PENDUGAAN EROSI DAERAH ALIRAN SUNGAI,Dimas Kurniawan,http://klik.ulm.ac.id/index.php/klik/article/view/424
ANALYSIS OF MODIFIED K-MEANS CLUSTERING IN DECISION SUPPORT OF INDUSTRIAL PARTNER GROUPING,"Billy Sabella,Veri Julianto,Ahmad Rusadi Arrahimi",http://klik.ulm.ac.id/index.php/klik/article/view/429
METODE FUZZY SAW DAN ALGORITMA SELECTION SORT UNTUK PEMILIHAN VENDOR PENGADAAN BARANG,"badriawan sukma,septi andryana,agus iskandar",http://klik.ulm.ac.id/index.php/klik/article/view/438
PERANCANGAN SISTEM INFORMASI INVENTARIS BERBASIS WEBSITE MENGGUNAKAN METODE WATERFALL,"darmansah darmansah,Sisilia Rahma Widiasari Sisilia Rahma Widiasari,Raswini Raswini,Marcel Agustine Bacsafra Marcel Agustine Bacsafra",http://klik.ulm.ac.id/index.php/klik/article/view/448
KOMBINASI PROFILE MATCHING DAN ENTROPY UNTUK REKOMENDASI PEKERJAAN BAGI LULUSAN UNIVERSITAS PATTIMURA,Priskila Damaris Lokollo,http://klik.ulm.ac.id/index.php/klik/article/view/449
Analisis Penerapan Deep Learning untuk Klasifikasi Serangan Terhadap Keamanan Jaringan,I Made Suartana,http://klik.ulm.ac.id/index.php/klik/article/view/451
PENERAPAN GIM AUGMENTED REALITY BERBASIS ANDROID DALAM PENGENALAN SEJARAH KERATON KERAJAAN PONTIANAK,Fatma Agus Setyanngsih,http://klik.ulm.ac.id/index.php/klik/article/view/452
SISTEM INFORMASI GEOGRAFIS PETA PENYEBARAN COVID-19 DI KOTA BATAM,Syaeful Anas Aklani,http://klik.ulm.ac.id/index.php/klik/article/view/393
DESAIN BASIS DATA TERHADAP KEBUTUHAN  PETANI BAWANG MERAH,"Faiz Rizky Fahlevi,Ahmad Muslih Syafi'i,Adytia Abi Restianto,Ummi Athiyah",http://klik.ulm.ac.id/index.php/klik/article/view/394
A BLOCKCHAIN SYSTEM FOR DIGITAL SERTIFICATE VERIFICATION ON E-LEARNING,Dewi Setiowati,http://klik.ulm.ac.id/index.php/klik/article/view/397
PENDETEKSIAN WAJAH MENGGUNAKAN ALGORITMA CONVOLUTIONAL NEURAL NETWORK DALAM MENGHITUNG JUMLAH MAHASISWA,"Satria Ramadhan,Muhamad Irsan,Silvia Ayunda Murad",http://klik.ulm.ac.id/index.php/klik/article/view/398
PEMILIHAN KETUA DAN WAKIL KETUA BADAN EKSEKUTIF MAHASISWA UNIVERSITAS LAMBUNG MANGKURAT (BEM ULM) BERBASIS ELEKTRONIK,"Muhammad Azmi Adhani,Radityo Adi Nugroho,Rudy Herteno,Muliadi Muliadi,Friska Abadi",http://klik.ulm.ac.id/index.php/klik/article/view/404
DETEKSI IKAN TONGKOL BERFORMALIN BERDASARKAN CITRA MATA IKAN DENGAN METODE NAÏVE BAYES CLASSIFIER,"Mutia Maulida,Eka Setya Wijaya,Muhamad Reza Anwar",http://klik.ulm.ac.id/index.php/klik/article/view/405
SISTEM PENDUKUNG KEPUTUSAN KEBERLANJUTAN BEASISWA STMIK PELITA NUSANTARA SETIAP SEMESTER DENGAN MENGGUNAKAN METODE SIMPLE ADDITIVE WEIGHTING (SAW),Nera Mayana Br Tarigan,http://klik.ulm.ac.id/index.php/klik/article/view/406
EVALUASI PENGGUNAAN APLIKASI SIM-RS MENGGUNAKAN METODE HOT-FIT,Tri Rizqi Ariantoro,http://klik.ulm.ac.id/index.php/klik/article/view/407
AKSESIBILITAS SPASIAL KE PUSAT KESEHATAN MASYARAKAT(PUSKESMAS) DI KOTA MEDAN DENGAN METODE ENHANCE TWO-STEP FLOATING CATCHMENT AREA (E2SFCA),"Mardhiatul Husna,Jenny Sari Tarigan",http://klik.ulm.ac.id/index.php/klik/article/view/408
PERBANDINGAN K-NEAREST NEIGHBOR DAN BACKPROPAGATION NEURAL NETWORK DALAM PREDIKSI RESIKO DIABETES TAHAP AWAL,"Jaka Permadi,Herfia Rhomadhona,Winda Aprianti",http://klik.ulm.ac.id/index.php/klik/article/view/419
IDENTIFIKASI OTOMATIS PESAN SAKSI MATA PADA MEDIA SOSIAL SAAT BENCANA GEMPA,"Sarah Monika Nooralifa,Mohammad Reza Faisal,Friska Abadi,Radityo Adi Nugroho,Muliadi Aziz",http://klik.ulm.ac.id/index.php/klik/article/view/351
PERKIRAAN SUMBER DAYA PENGEMBANGAN SISTEM INFORMASI MENGGUNAKAN COCOMO II  (Studi Kasus : Pengembangan Sistem Informasi Pengelolaan Data English Proficiency Test (EPT) Unit Pelaksana Teknis (UPT) Bahasa Universitas Lampung),"Dian Pitaloka,Anie Rose Irawati,Yohana Tri Utami",http://klik.ulm.ac.id/index.php/klik/article/view/378
ANALISIS PERBANDINGAN KINERJA LAYANAN CONTAINER AS A SERVICE (CAAS) STUDI KASUS : DOCKER DAN PODMAN,"Chairul Mukmin,Therezia Naraloka,Qodri Harun Andriyanto",http://klik.ulm.ac.id/index.php/klik/article/view/381
"ANALISIS SISTEM PAKAR UNTUK MENGIDENTIFIKASI PENYAKIT PADA TANAMAN JERUK SIAM (CITRUS NOBILIS VAR. MICROCARPA) DARI PERKEBUNAN DESA SETAPOK, KOTA SINGKAWANG","Fatma Agus Setyanngsih,Rahmawati Rahmawati,Mukarlina Mukarlina",http://klik.ulm.ac.id/index.php/klik/article/view/382
APLIKASI PEMESANAN MAKANAN MENGGUNAKAN ALGORTIMA COLLABORATIVE FILTERING DENGAN METODE MVC (MODEL VIEW CONTROLLER),aji putra prasetiyo,http://klik.ulm.ac.id/index.php/klik/article/view/384
METODE FORWARD CHAINING DAN CERTAINTY FACTOR UNTUK MENDIAGNOSA PENYAKIT PADA PEROKOK AKTIF BERBASIS ANDROID,Willy Welvi Nanda,http://klik.ulm.ac.id/index.php/klik/article/view/386
TEXT MINING UNTUK MENGKLASIFIKASI  JUDUL BERITA ONLINE  STUDI KASUS RADAR BANJARMASIN  MENGGUNAKAN METODE NAÏVE BAYES,Muhammad Sholih Afif,http://klik.ulm.ac.id/index.php/klik/article/view/389
"SISTEM PAKAR KERUSAKAN BARANG RUMAH  TANGGA (MESIN CUCI, AC & KULKAS)  BERBASIS FORWARD CHAINING","Admi Syarif,Novita Dwilestari,Akmal Junaidi,Rico Andrian",http://klik.ulm.ac.id/index.php/klik/article/view/390
ARSITEKTUR SISTEM INFORMASI BERBASIS WEB MONITORING PROSES RECOVERY SURVIVOR GANGGUAN JIWA PASCA PERAWATAN,"Astria Hijriani,Sigit Tunggul Waskito,Yohana Tri Utami",http://klik.ulm.ac.id/index.php/klik/article/view/391
IMPLEMENTASI SSD_RESNET50_V1 UNTUK  PENGHITUNG KENDARAAN,"Muhammad Nur Rizal,Radityo Adi Nugroho,Dodon Turianto nugrahadi,Muhammad Reza Faisal,Friska Abadi",http://klik.ulm.ac.id/index.php/klik/article/view/383
PERANCANGAN GAME EDUKASI SEBAGAI MEDIA PEMBELAJARAN BERBASIS MOBILE MENGGUNAKAN ALGORITMA FISHER-YATES DAN FLOOD FILL,Rifky Syaifulloh,http://klik.ulm.ac.id/index.php/klik/article/view/353
EFEKTIVITAS PENCARIAN RUTE RUMAH KOS DAN KONTRAKAN BERBASIS ALGORITMA DIJKSTRA DAN ASTAR,Moh Nur Latuconsina,http://klik.ulm.ac.id/index.php/klik/article/view/364
HOSPITAL LENGTH OF STAY PREDICTION BASED ON PATIENT EXAMINATION USING NEURAL NETWORK,Rabiatul Adawiyah,http://klik.ulm.ac.id/index.php/klik/article/view/368
SISTEM FUZZY PADA KONTROLING AERATOR UNTUK MENINGKATKAN KUALITAS AIR KOLAM PEMBIBITAN IKAN MENGGUNAKAN SENSOR DO DAN SENSOR SUHU,"Andi farmadi,Muliadi Muliadi",http://klik.ulm.ac.id/index.php/klik/article/view/369
KLASIFIKASI KUALITAS KAYU KELAPA MENGGUNAKAN ARSITEKTUR CNN,"Nurul Fathanah Mustamin,Yuslena Sari,Husnul Khatimi",http://klik.ulm.ac.id/index.php/klik/article/view/370
SISTEM PENERIMAAN PEGAWAI SALES KPR PADA BANK MENGGUNAKAN METODE MULTI-OBJECTIVE OPTIMIZATION ON THE BASIS OF RATIO ANALYSIS,"Andreyan Rizky Baskara,Yuslena Sari,Muhammad Adetya Ashari",http://klik.ulm.ac.id/index.php/klik/article/view/372
PERANCANGAN DAN IMPLEMENTASI  SISTEM MANAJEMEN PROPOSAL SKRIPSI  (STUDI KASUS JURUSAN MANAJEMEN INFORMATIKA POLITEKNIK NEGERI SAMBAS),Sonty Lena,http://klik.ulm.ac.id/index.php/klik/article/view/373
SIMIPA MODUL ORANG TUA SEBAGAI MEDIA PEMANTAUAN PERKULIAHAN MAHASISWA OLEH ORANG TUA/WALI,"Ardiansyah Ardiansyah,Habibi Habibi,Dwi Sakethi,Anie Rose Irawati",http://klik.ulm.ac.id/index.php/klik/article/view/374
PEMBUATAN VIRTUAL TOUR SEBAGAI SARANA PEMBELAJARAN PROGRAM STUDI MICE,"Mardhiatul Husna,Erwinsyah Simanungkalit,Faulina Faulina",http://klik.ulm.ac.id/index.php/klik/article/view/375
DETEKSI TINGKAT KERUSAKAN SISTEM KELISTRIKAN PADA MOBIL MENGGUNAKAN ADAPTIVE NEURO-FUZZY INFERENCE SYSTEM,"Rizky Prabowo,Zuliana Nurfadlilah,Favorisen Rosyking Lumbanraja,Didik Kurniawan",http://klik.ulm.ac.id/index.php/klik/article/view/377
IMPLEMENTASI METODE ANALYTICAL HIERARCHY PROCESS (AHP) PADA SISTEM PENDUKUNG KEPUTUSAN PEMBELIAN MOBIL DI BANDAR LAMPUNG,"Admi Syarif,Ari Ardianto,Bambang Hermanto,Machudor Yusman",http://klik.ulm.ac.id/index.php/klik/article/view/325
PENGELOMPOKAN PERSENTASE BUTA HURUF UMUR 15-44 MENURUT  PROVINSI MENGGUNAKAN ALGORITMA K-MEANS,"Saifullah Saifullah,Nani Hidayati",http://klik.ulm.ac.id/index.php/klik/article/view/329
REALISASI DAN DESAIN DINAMIKA BERJALAN NAIK DIATAS TANGGA PADA 33 DOF HUMANOID ROBOT,"Wulandari Puspita Sari,R Sanggar Dewanto,Dadet Pramadihanto",http://klik.ulm.ac.id/index.php/klik/article/view/332
IMPLEMENTASI WEIGHT PRODUCT (WP) UNTUK PEMILIHAN BUBUR BAYI INSTAN USIA 6BULAN+,Linda Sari Dewi,http://klik.ulm.ac.id/index.php/klik/article/view/334
MULTIATTRIBUTE DECISION MAKING PENENTUAN AKREDITASI SMA MENGGUNAKAN METODE ECKENRODE DAN DIA,Yeffriansjah Salim,http://klik.ulm.ac.id/index.php/klik/article/view/339
PROTOTYPE MONITORING SUHU BERBASIS MIKROKONTROLER PADA COOL BOX IKAN MENGGUNAKAN SENSOR DS18B20 DENGAN METODE FUZZY,"Eka Setya Wijaya,Muti`a Maulida,Yuslena Sari,Andreyan Rizky Baskara,Akhmad Rivaldy",http://klik.ulm.ac.id/index.php/klik/article/view/343
DETECTION OF LUNG CANCER CELL BASED ON CYTOLOGICAL EXAMINATION USING CONVOLUTIONAL NEURAL NETWORK,"Rulisiana Widodo,Tessy Badriyah,Iwan Syarif",http://klik.ulm.ac.id/index.php/klik/article/view/344
OPTIMASI FUNGSI KEANGGOTAAN FIS TSUKAMOTO MENGGUNAKAN SIMULATED ANNEALING UNTUK IDENTIFIKASI PENYAKIT GIGI,"Triando Hamonangan Saragih,Rahmat Ramadhani,Muhammad Itqan Mazdadi,Ahmad Rusadi Arrahimi,Mohammad Reza Faisal",http://klik.ulm.ac.id/index.php/klik/article/view/349
PREDIKSI JUMLAH PENDERITA PENYAKIT TUBERKULOSIS DI KOTA BANDAR LAMPUNG MENGGUNAKAN METODE SVM (SUPPORT VECTOR MACHINE),"Favorisen R. Lumbanraja,Ira Hariati Br Sitepu,Didik Kurniawan,Aristoteles Aristoteles",http://klik.ulm.ac.id/index.php/klik/article/view/350
CAWA LAMPUNG : KAMUS BAHASA INDONESIA-LAMPUNG DIALEK A BERBASIS ANDROID,"Febi Eka Febriansyah,Ardiansyah Ardiansyah,Afan Darmaji",http://klik.ulm.ac.id/index.php/klik/article/view/352
SISTEM PREDIKSI FUZZY TIME SERIES DAN PERANGKINGAN WEIGHTED PRODUCT PADA PENJUALAN ES BUAH,"Heffi Awang Cahya,Resty Wulanningrum,Danar Putra Pamungkas",http://klik.ulm.ac.id/index.php/klik/article/view/313
FENOMENA SPORADIC E FREKUENSI 5.2 MHZ PADA KONDISI SOLAR MINIMUM TAHUN 2019,"Zulmi Zakariyah,Titon Dutono,Tri Budi Santoso,Bustamir Arif",http://klik.ulm.ac.id/index.php/klik/article/view/314
ANALISIS AUDIT TATA KELOLA KEAMANAN TEKNOLOGI INFORMASI MENGGUNAKAN FRAMEWORK COBIT 5 PADA INSTANSI X,"Daniel Alexander Octavianus Turang,Merry Christy Turang",http://klik.ulm.ac.id/index.php/klik/article/view/316
VIRTUAL TOUR 3D SITUS PURBAKALA PUGUNG RAHARJO LAMPUNG TIMUR,"Puput Budi Wintoro,Irwan Irmawan,Deny Budiyanto,Rio Ariestia Pradipta",http://klik.ulm.ac.id/index.php/klik/article/view/318
PENGUKURAN PSNR PADA TRANSMISI VIDEO DI KANAL TERAHERTZ MENGGUNAKAN QAM MODULATION,"Tamara Maharani,Muhammad Agus Zainuddin,Sritrusta Sukaridhoto",http://klik.ulm.ac.id/index.php/klik/article/view/319
HAND GESTURE RECOGNITION FOR INDONESIAN SIGN LANGUAGE INTERPRETER SYSTEM WITH MYO ARMBAND USING SUPPORT VECTOR MACHINE,"Aditiya Anwar,Achmad Basuki,Riyanto Sigit",http://klik.ulm.ac.id/index.php/klik/article/view/320
DETEKSI DINI PENYAKIT IUGR (INTRA UTERINE GROWTH RETRICTION) DENGAN METODE SVM (SUPPORT VECTOR MACHINE),irhama karin karinasari,http://klik.ulm.ac.id/index.php/klik/article/view/321
ANALISIS POLA PERMINTAAN PUBLIKASI DATA BADAN PUSAT STATISTIK MENGGUNAKAN ASSOCIATION RULE APRIORI,"Farid Ridho,Fachruddin Mansyur",http://klik.ulm.ac.id/index.php/klik/article/view/322
"IMPLEMENTASI FRAMEWORK COBIT 5.0 FOKUS DOMAIN DELIVERY, SUPPORT, DAN SERVICE PADA PT.XYZ","Yunda Heningtyas,Indah Mayatika Sihaloho,Akmal Junaidi",http://klik.ulm.ac.id/index.php/klik/article/view/323
PEMANFAATAN ANALISIS SPASIAL UNTUK PEMETAAN RISIKO BENCANA ALAM TSUNAMI MENGGUNAKAN PENGOLAHAN DATA SPASIAL SISTEM INFORMASI GEOGRAFIS,"Deny Budiyanto,Trisya Septiana,Mona Arif Muda",http://klik.ulm.ac.id/index.php/klik/article/view/324
SISTEM PAKAR ANALISA KERUSAKAN SEPEDA MOTOR MATIC DENGAN METODE DEMPSTER SHAFER DAN PEMROGRAMAN PYTHON,"Hikmatulloh Hikmatulloh,Dede Wintana,Susilawati Susilawati",http://klik.ulm.ac.id/index.php/klik/article/view/193
FEED FORWARD NEURAL NETWORK SEBAGAI ALGORITMA ESTIMASI STATE OF CHARGE BATERAI LITHIUM POLYMER,"Mohammad Imron Dwi Prasetyo,Anang Tjahjono,Novie Ayub Windarko",http://klik.ulm.ac.id/index.php/klik/article/view/290
IDENTIFIKASI PENYAKIT BURUNG PERKUTUT MENGGUNAKAN FORWARD CHAINING,Tri Hastono,http://klik.ulm.ac.id/index.php/klik/article/view/292
EKSTRAKSI FITUR MENGGUNAKAN MODEL WORD2VEC PADA SENTIMENT ANALYSIS KOLOM KOMENTAR KUISIONER EVALUASI DOSEN OLEH MAHASISWA,"Muhammad Rusli,M. Reza Faisal,Irwan Budiman,Radityo Adi Nugroho,Andi Farmadi",http://klik.ulm.ac.id/index.php/klik/article/view/296
KEMIRIPAN LIPSTIK BERDASARKAN METODE FUZZY C-MEANS (FCM) MENGGUNAKAN DELPHI,chandra dharsni,http://klik.ulm.ac.id/index.php/klik/article/view/299
IMPLEMENTASI METODE WEBQUAL DAN CUSTOMER SATISFACTION INDEX UNTUK MENGEVALUASI WEBSITE PERGURUAN TINGGI NEGERI DI BANDAR LAMPUNG,"Tristiyanto Tristiyanto,Deviana Saputri,Muhammad Iqbal",http://klik.ulm.ac.id/index.php/klik/article/view/303
RANCANG BANGUN APLIKASI KARTU MENUJU SEHAT (e-KMS) PADA PLATFORM ANDROID,"Kurnia Muludi,Noni Kurniasih,Aristoteles Aristoteles,Muhammad Iqbal",http://klik.ulm.ac.id/index.php/klik/article/view/304
SISTEM FUZZY INFERENSI UNTUK CUSTOMISE FAN PADA SISTEM  RUMAH CERDAS,"Andi Farmadi,Dwi Kartini Kartini,Muliadi Muliadi",http://klik.ulm.ac.id/index.php/klik/article/view/306
OBJECT COUNTING PADA DATA VIDEO,"Rudy Herteno,M. Reza Faisal,Radityo A Nugroho,Friska Abadi,Rahmat Ramadhani",http://klik.ulm.ac.id/index.php/klik/article/view/307
OPTIMALISASI PENERIMAAN REMUNERASI DOSEN MENGGUNAKAN METODE RULE BASE REASONING,Samsudin Samsudin,http://klik.ulm.ac.id/index.php/klik/article/view/185
KLASIFIKASI NAÏVE BAYES UNTUK MENDIAGNOSIS PENYAKIT PNEUMONIA PADA ANAK BALITA (STUDI KASUS : UPTD PUSKESMAS SUKARAJA SUKABUMI),"Ami Rahmawati,Dede Wintana,Satia Suhada,Gunawan Gunawan,Hamdun Sulaiman",http://klik.ulm.ac.id/index.php/klik/article/view/202
"KLASIFIKASI PENENTUAN PENERIMA MANFAAT PROGRAM KELUARGA HARAPAN (PKH) MENGGUNAKAN ALGORITMA C5.0  (Studi kasus: Desa Sukamaju, Kec.Kadudampit)","Dede Wintana,Hikmatulloh Hikmatulloh,Nurul Ichsan,Jajang Jaya Purnama,Ami Rahmawati",http://klik.ulm.ac.id/index.php/klik/article/view/206
ANALISIS ALGORITMA BACKPROPAGATION DALAM MEMPREDIKSI TINGKAT KEBERHASILAN PELATIH SEPAKBOLA SEBAGAI SALAH SATU KEMAJUAN OLAHRAGA DI INDONESIA,Muhammad Ridwan Lubis,http://klik.ulm.ac.id/index.php/klik/article/view/248
PEMODELAN ENTERPRISE RESOURCE PLANNING MENGGUNAKAN ODOO PADA Z-TECH KOMPUTER,"Fitri Purwaningtias,Chairul Mukmin",http://klik.ulm.ac.id/index.php/klik/article/view/259
"ANALISIS KINERJA REDISTRIBUSI ROUTING PROTOKOL DINAMIK (Studi Kasus : RIP, EIGRP, IS-IS)","Chairul Mukmin,Edi Surya Negara",http://klik.ulm.ac.id/index.php/klik/article/view/262
IMPLEMENTASI DECISION TREE C4.5 DALAM PENENTUAN PINJAMAN UANG DI KOPERASI XYZ di BANJARMASIN,"Lia Farokhah,Rina Dewi Indahsari",http://klik.ulm.ac.id/index.php/klik/article/view/268
APLIKASI MODUL DIGITAL BERBASIS WEB RESPONSIVE PADA STIK BINA HUSADA,"Tri Risqi Ariantoro,Arief Pamuji,Imam Solikin",http://klik.ulm.ac.id/index.php/klik/article/view/270
INTEGRASI SMART ATTENDANCE BAGI DOSEN SEBAGAI UPAYA PENINGKATAN KINERJA,"Irman Effendy,Ahmad Mutatkin Bakti",http://klik.ulm.ac.id/index.php/klik/article/view/271
PENERAPAN ALGORITMA ITERATIVE DICHOTOMISER THREE (ID3) DALAM MENDIAGNOSA KESEHATAN KEHAMILAN,"Hikmatulloh Hikmatulloh,Ami Rahmawati,Dede Wintana,Diah Ayu Ambarsari",http://klik.ulm.ac.id/index.php/klik/article/view/189
ANALISA ALGORITMA K-MEANS CLUSTERING PEMETAAN JUMLAH TINDAK PIDANA,Jajang jaya Purnama,http://klik.ulm.ac.id/index.php/klik/article/view/208
IMPLEMENTASI FORMULA HAVERSINE DAN KOMUNIKASI DATA REAL-TIME MENGGUNAKAN WEBSOCKET DI SISTEM PENGAWASAN WARGA NEGARA ASING,Alam Rahmatulloh,http://klik.ulm.ac.id/index.php/klik/article/view/210
PENERAPAN DATA MINING DENGAN ALGORITMA C4.5 UNTUK KALKULASI DATA DALAM AL-QUR’AN TERJEMAHAN,Asmira Mira Rusli,http://klik.ulm.ac.id/index.php/klik/article/view/214
PENDETEKSIAN MADZHAB MENGGUNAKAN TEKNIK TEXT MINING DENGAN ALGORITMA C4.5 BERBASIS WEB,Sri Rahayu Razali,http://klik.ulm.ac.id/index.php/klik/article/view/215
APLIKASI CUTI DOSEN BERBASIS ANDROID PADA STEBIS ISLAM DARUSSALAM,"Imam Solikin,M. Soekarno Putra",http://klik.ulm.ac.id/index.php/klik/article/view/223
MODEL JARINGAN SYARAF TIRUAN MEMPREDIKSI PRODUKSI EKSPOR BATU BARA MENURUT NEGARA TUJUAN UTAMA DALAM MENDORONG LAJU PERTUMBUHAN EKONOMI,"Rafiqa Dewi,Sundari Retno Andani,Solikhun Solikhun",http://klik.ulm.ac.id/index.php/klik/article/view/227
IMPLEMENTASI EXTREME PROGRAMMING PADA SISTEM INVENTORY  MEBEL PADA CV PROFESTAMA KURNIA NISA,"Mesri Silalahi,Yulia E",http://klik.ulm.ac.id/index.php/klik/article/view/235
PENGARUH IMPLEMENTASI LOAD BALANCING DAN TUNING WEB SERVER PADA RESPONSE TIME RASPBERRY PI,"Dodon Turianto Nugrahadi,Rudy Herteno,Muhammad Anshari",http://klik.ulm.ac.id/index.php/klik/article/view/249
ANALISIS KUALITAS LAYANAN WEBSITE SIKMB MENGGUNAKAN METODE WEBQUAL 4.0 (STUDI PADA BADAN PENGUSAHAAN (BP) BATAM),Tukino Tukino,http://klik.ulm.ac.id/index.php/klik/article/view/149
STEGANOGRAFI UNTUK PESAN TERENKRIPSI MENGGUNAKAN ALGORITMA KRIPTOGRAFI RSA-CRT DI ANDROID,"Rudy Herteno,Wahyu Ramadansyah,Oni Soesanto,Radityo Adi Nugroho,Ahmad Rusadi",http://klik.ulm.ac.id/index.php/klik/article/view/246
MENGUKUR MUTU INTERACTION QUALITY SYSTEM E-TICKET,Sasa Ani Arnomo,http://klik.ulm.ac.id/index.php/klik/article/view/171
